address_hex,address_dec,result_type,value_or_code
0x02F4,756,EXCEPTION,2
0x02F5,757,EXCEPTION,2
0x02F6,758,EXCEPTION,2
0x02F7,759,EXCEPTION,2
0x02F8,760,EXCEPTION,2
0x02F9,761,EXCEPTION,2
0x02FA,762,EXCEPTION,2
0x02FB,763,EXCEPTION,2
0x02FC,764,EXCEPTION,2
0x02FD,765,EXCEPTION,2
0x02FE,766,EXCEPTION,2
0x02FF,767,EXCEPTION,2
0x0300,768,EXCEPTION,3
0x0301,769,EXCEPTION,3
0x0302,770,EXCEPTION,3
0x0303,771,EXCEPTION,3
0x0304,772,EXCEPTION,3
0x0305,773,EXCEPTION,3
0x0306,774,EXCEPTION,3
0x0307,775,EXCEPTION,3
0x0308,776,EXCEPTION,3
0x0309,777,EXCEPTION,3
0x030A,778,EXCEPTION,3
0x030B,779,EXCEPTION,3
0x030C,780,EXCEPTION,3
0x030D,781,EXCEPTION,3
0x030E,782,EXCEPTION,3
0x030F,783,EXCEPTION,3
0x0310,784,EXCEPTION,3
0x0311,785,EXCEPTION,3
0x0312,786,EXCEPTION,3
0x0313,787,EXCEPTION,3
0x0314,788,EXCEPTION,3
0x0315,789,EXCEPTION,3
0x0316,790,EXCEPTION,3
0x0317,791,EXCEPTION,3
0x0318,792,EXCEPTION,3
0x0319,793,EXCEPTION,3
0x031A,794,EXCEPTION,3
0x031B,795,EXCEPTION,3
0x031C,796,EXCEPTION,3
0x031D,797,EXCEPTION,3
0x031E,798,EXCEPTION,3
0x031F,799,EXCEPTION,3
0x0320,800,EXCEPTION,3
0x0321,801,EXCEPTION,3
0x0322,802,EXCEPTION,3
0x0323,803,EXCEPTION,3
0x0324,804,EXCEPTION,3
0x0325,805,EXCEPTION,3
0x0326,806,EXCEPTION,3
0x0327,807,EXCEPTION,3
0x0328,808,EXCEPTION,3
0x0329,809,EXCEPTION,3
0x032A,810,EXCEPTION,3
0x032B,811,EXCEPTION,3
0x032C,812,EXCEPTION,3
0x032D,813,EXCEPTION,3
0x032E,814,EXCEPTION,3
